ID,Longitude,Latitude,Timestamp,DAC,Original core file,Original synthetic file
5901077_317,-143.856,46.912,2015-09-21T21:23:22.002Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5901077/profiles/D5901077_317.nc,
5904106_124,-146.469,47.217,2015-09-21T20:42:49.002Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5904106/profiles/D5904106_124.nc,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5904106/profiles/SD5904106_124.nc
5903743_234,-141.524,49.993,2015-09-21T09:48:01.001Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5903743/profiles/D5903743_234.nc,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5903743/profiles/SD5903743_234.nc
4902083_011,-151.248,48.798,2015-09-21T08:32:29.000Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/4902083/profiles/D4902083_011.nc,
4901732_094,-141.81820678710938,51.47380065917969,2015-09-21T07:24:00.000Z,ME,ftp://ftp.ifremer.fr/ifremer/argo/dac/meds/4901732/profiles/D4901732_094.nc,
5903714_253,-141.016,51.479,2015-09-19T08:11:39.000Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5903714/profiles/D5903714_253.nc,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5903714/profiles/SD5903714_253.nc
5901079_308,-144.519,47.434,2015-09-19T04:43:30.000Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5901079/profiles/D5901079_308.nc,
4901440_136,-147.464,49.869,2015-09-19T04:11:44.000Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/4901440/profiles/D4901440_136.nc,
5904491_023,-142.514,47.13,2015-09-18T11:33:52.001Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5904491/profiles/D5904491_023.nc,
5904095_129,-146.926,50.487,2015-09-18T01:22:31.000Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5904095/profiles/D5904095_129.nc,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5904095/profiles/SD5904095_129.nc
5904125_159,-148.926,50.985,2015-09-17T17:23:21.001Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5904125/profiles/D5904125_159.nc,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5904125/profiles/SD5904125_159.nc
4901777_007,-153.2924041748047,48.89910125732422,2015-09-17T08:51:00.000Z,ME,ftp://ftp.ifremer.fr/ifremer/argo/dac/meds/4901777/profiles/D4901777_007.nc,
5903743_233,-141.475,49.984,2015-09-16T10:05:09.001Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5903743/profiles/D5903743_233.nc,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5903743/profiles/SD5903743_233.nc
4901795_007,-143.8455047607422,48.76110076904297,2015-09-15T11:39:59.999Z,ME,ftp://ftp.ifremer.fr/ifremer/argo/dac/meds/4901795/profiles/D4901795_007.nc,
4901774_007,-141.78160095214844,47.7942008972168,2015-09-15T06:05:00.000Z,ME,ftp://ftp.ifremer.fr/ifremer/argo/dac/meds/4901774/profiles/D4901774_007.nc,
5904106_123,-146.405,47.249,2015-09-14T13:58:10.001Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5904106/profiles/D5904106_123.nc,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5904106/profiles/SD5904106_123.nc
